"Value","Qty","Reference","Footprint"
"LT1161","1","U1","Package_DIP:DIP-20_W7.62mm_LongPads"
"MCT6","2","U2,U3","Package_DIP:DIP-8_W7.62mm_LongPads"
"Motor0","1","J1","GS_Connectors:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal"
"Motor1","1","J3","GS_Connectors:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal"
"BATT","1","J4","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"MCU","1","J2","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical"
"VN2222L","4","Q5,Q10,Q13,Q18","Package_TO_SOT_THT:TO-92_Inline"
"IRFZ44","8","Q3,Q4,Q7,Q8,Q11,Q12,Q15,Q16","Package_TO_SOT_THT:TO-220-3_Vertical"
"2N3904","6","Q1,Q2,Q6,Q9,Q14,Q17","Package_TO_SOT_THT:TO-92_Inline"
"47uF","1","C7","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"10k","12","R1,R2,R3,R4,R5,R7,R9,R11,R13,R15,R17,R19","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"100k","4","R6,R8,R10,R12","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"330R","4","R14,R16,R18,R20","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"100nF","9","C1,C2,C8,C9,C10,C11,C12,C13,C14","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
"10nF","4","C3,C4,C5,C6","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
